Estacion,Fecha inicial,Fecha final,PM10
CAM NORTE,2018 Oct 20 12:00:00 AM,,"27,8579524"
CAM NORTE,2018 Oct 17 12:00:00 AM,,"30,98564955"
CAM NORTE,2018 Oct 14 12:00:00 AM,,"28,97920605"
CAM NORTE,2018 Oct 11 12:00:00 AM,,"28,46984363"
CAM NORTE,2018 Oct 08 12:00:00 AM,,"26,69943289"
CAM NORTE,2018 Oct 05 12:00:00 AM,,"27,49620637"
CAM NORTE,2018 Oct 02 12:00:00 AM,,"25,64701378"
CAM NORTE,2018 Sep 28 12:00:00 AM,,"37,76435045"
CAM NORTE,2018 Sep 25 12:00:00 AM,,"34,04021244"
CAM NORTE,2018 Sep 22 12:00:00 AM,,"28,13017306"
CAM NORTE,2018 Sep 19 12:00:00 AM,,"31,12202493"
CAM NORTE,2018 Sep 16 12:00:00 AM,,"29,44864048"
CAM NORTE,2018 Sep 13 12:00:00 AM,,"28,39697543"
CAM NORTE,2018 Sep 10 12:00:00 AM,,"26,23231571"
CAM NORTE,2018 Sep 07 12:00:00 AM,,"28,18903592"
CAM NORTE,2018 Sep 04 12:00:00 AM,,"27,53414264"
CAM NORTE,2018 Sep 01 12:00:00 AM,,"26,68070444"
CAM NORTE,2018 Aug 28 12:00:00 AM,,"31,68944658"
CAM NORTE,2018 Aug 25 12:00:00 AM,,"27,33548794"
CAM NORTE,2018 Aug 22 12:00:00 AM,,"28,07017544"
CAM NORTE,2018 Aug 19 12:00:00 AM,,"26,0131811"
CAM NORTE,2018 Aug 16 12:00:00 AM,,"24,89912222"
CAM NORTE,2018 Aug 13 12:00:00 AM,,"19,50240003"
CAM NORTE,2018 Aug 10 12:00:00 AM,,"26,18806296"
CAM NORTE,2018 Aug 07 12:00:00 AM,,"25,14484441"
CAM NORTE,2018 Aug 04 12:00:00 AM,,"30,07890096"
CAM NORTE,2018 Aug 01 12:00:00 AM,,"25,72909296"
CAM NORTE,2018 Jul 30 12:00:00 AM,,"28,10880727"
CAM NORTE,2018 Jul 27 12:00:00 AM,,"32,15849764"
CAM NORTE,2018 Jul 24 12:00:00 AM,,"24,55397754"
CAM NORTE,2018 Jul 21 12:00:00 AM,,"29,97122436"
CAM NORTE,2018 Jul 18 12:00:00 AM,,"33,06113863"
CAM NORTE,2018 Jul 15 12:00:00 AM,,"21,67868276"
CAM NORTE,2018 Jul 12 12:00:00 AM,,"26,28750645"
CAM NORTE,2018 Jul 09 12:00:00 AM,,"32,50431106"
CAM NORTE,2018 Jul 06 12:00:00 AM,,"25,25944491"
CAM NORTE,2018 Jul 03 12:00:00 AM,,"22,225622"
CAM NORTE,2018 Jun 30 12:00:00 AM,,"37,83818005"
CAM NORTE,2018 Jun 28 12:00:00 AM,,"24,09216438"
CAM NORTE,2018 Jun 26 12:00:00 AM,,"19,81776765"
CAM NORTE,2018 Jun 24 12:00:00 AM,,"36,95169891"
CAM NORTE,2018 Jun 22 12:00:00 AM,,"22,81943997"
CAM NORTE,2018 Jun 20 12:00:00 AM,,"27,57032333"
CAM NORTE,2018 Jun 18 12:00:00 AM,,"35,34263077"
CAM NORTE,2018 Jun 16 12:00:00 AM,,"25,60307502"
CAM NORTE,2018 Jun 14 12:00:00 AM,,"15,4987634"
CAM NORTE,2018 Jan 12 12:00:00 AM,,"28,26086957"
CAM NORTE,2018 Jan 11 12:00:00 AM,,"24,34782609"
CAM NORTE,2018 Jan 10 12:00:00 AM,,"28,26086957"
CAM NORTE,2018 Jan 09 12:00:00 AM,,"22,17391304"
CAM NORTE,2018 Jan 08 12:00:00 AM,,"27,39130435"
